id,name,state,zipcode,USNewsRank
652,Alabama A&M Univ.,AL,35811,
653,Southern Adventist Univ.,TN,37315,
654,Bellarmine Univ.,KY,40205,
655,Hanover College,IN,47243,
656,Kansas Wesleyan Univ.,KS,67401,
657,Cal State Univ.-Channel Islands,CA,93012,
658,Anderson Univ.,IN,46012-,
659,Texas Southern Univ.,TX,77004-,
660,Rollins College,FL,32789-,
661,Hiram College,OH,44234-,
662,Hobart & William Smith College,NY,14456-,
663,Alma College,MI,48801-,
664,Louisiana State Univ.-Shreveport,LA,71115-,
665,McMurry Univ,TX,79697,
666,Millsaps College,MS,39210-,
667,Southern Nazarene Univ.,OK,73008-,
668,Providence College,RI,02918-,
669,Mercer Univ.,GA,31207-,
670,Fisk Univ.,TN,37208-,
671,Notre Dame of MD Univ.,MD,20210,
672,Utica College,NY,13502-,
673,Merrimack College,MA,1845,
674,Hartford-Univ. of,CT,6117,
675,Thiel College,PA,16125,
676,Union Univ. (TN),TN,37075,
677,Nebraska-Univ. of   Kearney,NE,68849,
678,Louisiana-Univ. of   Lafayette,LA,70504,
679,Southern Univ. & A&M College (Baton Rouge   LA),LA,70813,
680,Lynchburg College,VA,24501-,
681,St. Norbert College,WI,54115-,
682,Moravian College,PA,18018-,
683,Agnes Scott College,GA,30030-,
684,King College,TN,37620-,
685,North Park Univ.,IL,60625-,
686,Elizabethtown College,PA,17022-,
687,Birmingham-Southern College,AL,35254-,
688,North Alabama-Univ. of,AL,35632-,
689,Tougaloo College,MS,39174-,
690,Georgian Court Univ,NJ,8701,
691,Oglethorpe Univ.,GA,30319,
692,Marlboro College,VT,05344-,
693,Westminster College-Fulton   MO,MO,65251-,
694,Chatham Univ.,PA,15232,
695,Elizabeth City State Univ.,NC,27909-,
696,Buena Vista College,IA,50588-,
697,Chicago State Univ.,IL,60628-,
698,CUNY   York College,NY,11451,
699,District of Columbia-Univ. of the,DC,20008,
700,Valdosta State Univ. (GA),GA,31698,
701,Lipscomb Univ.,TN,37204,
702,Indiana State Univ. ,IN,47809,
703,Principia College,IL,62028,
704,Cameron Univ.,OK,73505,
705,Houston Baptist Univ.,TX,77074,
706,Eastern Washington Univ.,WA,99004,
707,Geneva College,PA,15010,
708,Sweet Briar College,VA,24521-,
709,Clark Atlanta Univ.,GA,30314,
710,Erskine College,SC,29639-,
711,Ashland College,OH,44805-,
712,Manhattan College,NY,10471,
713,Midwestern State Univ.,TX,76308,
714,Muskingum College,OH,43762-,
715,Troy Univ.,AL,36082-,
716,Lincoln Univ.,MO,65101,
717,Dordt College,IA,51250-,
718,Lane College,TN,38301-,
719,Central Methodist U,MO,65248-,
720,Science & Arts of Oklahoma-Univ. of ,OK,73018-,
721,Southwestern Adventist Univ.,TX,76059-,
722,Wells College,NY,13026-,
723,Adrian College,MN,49221-,
724,Union College (NE),NE,68506-,
725,La Verne-Univ. of,CA,91750-,
726,CUNY xCenter   Hunter College,NY,10065,
727,Hollins Univ.,VA,24020,
728,Lincoln Univ.,MO,65101,
729,Texas A&M Univ.-Corpus Christi,TX,78412,
730,Belmont Univ.,TN,37212-,
731,Mount Royal Univ. (Canada), Canada, T3E 6K6,
732,Arkansas-Univ. of   Little Rock,AR,72204-,
733,Calgary-Univ. of  (Canada), Canada, T2N 1N4,
734,Southwestern Univ.,TX,78626,
735,New Mexico Tech,NM,87801,
736,West Virginia Jesuit,WV,26003,
737,Franklin & Marshall College,PA,17604-,
738,Winston-Salem State Univ.,NC,27110-,
739,North Carolina-Univ. of   Pembroke,NC,28372-,
740,Florida State Univ.,FL,32306-,
741,Mississippi College,MS,39058-,
742,St. Joseph's Univ.,PA,19131,
743,Piedmont College,GA,30535,
744,Heidelberg Univ (Tiffin   OH),OH,44883,
745,Rockhurst Univ.,MO,64110,
746,Chadron State College,NE,69337,
747,Bethany College _ West Virginia,WV,26032-,
748,Bethune-Cookman Univ.,FL,32120-,
749,Carson-Newman College,TN,37760-,
750,Arkansas-Univ. of   Monticello,AR,71656-,
751,Arkansas Tech Univ.,AR,72801-,
752,Kentucky Wesleyan Univ.,KY,42301,
753,Pepperdine Univ.,CA,90263,
754,Rhode Island College,RI,02908-,
755,New England College,NH,03242-,
756,Bennington College,VT,05201-,
757,Sacred Heart Univ.,CT,06825-,
758,Cooper Union,NY,10003-,
759,Pace Univ.,NY,10038-,
760,Mercy College,NY,10522-,
761,Sarah Lawrence College,NY,10708-,
762,Mercyhurst College,PA,16546-,
763,Rockingham Community College,NC,27375-,
764,Louisburg College,NC,27549-,
765,Edgecombe Community College,NC,27886-,
766,Gardner-Webb Univ.,NC,28017-,
767,Gaston College,NC,28034-,
768,Wingate Univ.,NC,28174-,
769,Caldwell Community College and Technical Institute,NC,28638-,
770,Wilkes Community College,NC,28697-,
771,Western Carolina Univ.,NC,28723-,
772,Coker College,SC,29550-,
773,Piedmont Technical College,SC,29646-,
774,South Carolina-Univ. of   Lancaster,SC,29721-,
775,York Technical College,SC,29730-,
776,La Grange College,GA,30240-,
777,Barry Univ.,FL,33161-,
778,Palm Beach Atlantic College,FL,33401-,
779,Talladega College,AL,35160-,
780,Athens State Univ.,AL,35611-,
781,Northeast Alabama Community College,AL,35986-,
782,Jacksonville State Univ.,AL,36265-,
783,Lee Univ.,TN,37312-,
784,Tusculum College,TN,37743-,
785,Southwest Tennessee Community College,TN,38134-,
786,Copiah Lincoln Community College,MS,39191-,
787,Jones County Junior College,MS,39437-,
788,Mississippi Gulf Coast Community College,MS,39553-,
789,Air Force Institute Of Technology,OH,45433-,
790,Saint Catherine Univ. (MN),MN,55105-,
791,Carroll College (MT),MT,59625-,
792,Hardin Simmons Univ.,TX,79698-,
793,Medicine Hat College (Canada), Canada, T1A-3Y6,
794,Hampshire College,MA,1002,
795,Thomas Aquinas College,NY,10976,
796,St. John's College (MD),MD,21401,
797,Shepherd Univ.,WV,25443,
798,Shaw Univ.,NC,27601,
799,Meredith College,NC,27607,
800,Sandhills Community College,NC,28374,
801,Western Piedmont Community College,NC,28655,
802,Wesleyan College (GA),GA,31210,
803,DeVry Univ. - Orlando,FL,32839,
804,Maryville College,TN,37804,
805,St. Thomas   Univ. of (Texas),TX,77006,
806,Lee College,TX,77520,
807,Guadalajara-Univ. de (Mexico), Mexico,,
808,UNAM (Mexico), Mexico,,
809,Baruch College-CUNY,NY,10010-,
810,The College of New Rochelle,NY,10805-,
811,New York City Technical College,NY,11201-,
812,Vaughn College,NY,11369-,
813,Marist College,NY,12601-,
814,SUNY Coll. at Cortland,NY,13045-,
815,D'Youville College,NY,14201-,
816,Daemen College,NY,14226-,
817,Elmira College,NY,14901-,
818,Gannon Univ.,PA,16541-,
819,Aracadia Univ.,PA,19038-,
820,Naval Surface Warfare Center,MD,20817-,
821,Community College of Baltimore County-Essex,MD,21237-,
822,Virginia State Univ.,VA,23806-,
823,Virginia-Univ. of   College at Wise,VA,24293-,
824,Spartanburg Community College,SC,29301-,
825,Malone Univ.,OH,44709-,
826,Concordia Univ.-Ann Arbor,MI,48105-,
827,Washtenaw Community College,MI,48105-,
828,Madonna Univ.,MI,48150-,
829,Detroit-Univ. of   Mercy,MI,48221-,
830,Marygrove College,MI,48221-,
831,Oakland Community College-Orchard Ridge,MI,48334-,
832,Kirtland Community College,MI,48653-,
833,Delta College,MI,48710-,
834,Montcalm Community College,MI,48885-,
835,Lansing Community College,MI,48901-,
836,Jackson Community College,MI,49201-,
837,Siena Heights Univ.,MI,49221-,
838,Muskegon Community College,MI,49442-,
839,North Central Michigan College,MI,49770-,
840,Lake Superior State Univ.,MI,49783-,
841,Gogebic Community College,MI,49938-,
842,Grand View College,IA,50316-,
843,Iowa Central Community College,IA,50501-,
844,Wisconsin-Univ. of   Sheboygan,WI,53081-,
845,Wisconsin-Univ. of   Parkside,WI,53141-,
846,Inver Hills Community College,MN,55076-,
847,Itasca Community College,MN,55744-,
848,Hibbing Community College,MN,55746-,
849,Mesabi Range Community & Technical College,MN,55792-,
850,Western Montana College,MT,59725-,
851,McHenry County College,IL,60012-,
852,Judson Univ.,IL,60120-,
853,Kishwaukee College,IL,60150-,
854,Roosevelt Univ.,IL,60173-,
855,Prairie State College,IL,60411-,
856,Rock Valley College,IL,61114-,
857,Illinois Valley Community College,IL,61348-,
858,Illinois Central College,IL,61635-,
859,Lakeland Community College,IL,61938-,
860,Lewis and Clark Community College (IL),IL,62035-,
861,Quincy Univ.,IL,62301-,
862,East Central College (MO),MO,63084-,
863,Central Missouri   Univ. of,MO,64093-,
864,Metropolitan Community College-Penn Valley,MO,64111-,
865,Cottey College,MO,64772-,
866,Crowder College,MO,64850-,
867,Emporia State Univ.,KS,66801-,
868,Tabor College,KS,67063-,
869,Bethel College - Kansas,KS,67117-,
870,Regis Univ. (CO),CO,80221-,
871,Western Wyoming Community College,WY,82902-,
872,San Juan College,NM,87402-,
873,New Mexico Military Institute,NM,88201-,
874,Los Angeles Trade Technical College,CA,90015-,
875,Santa Monica College,CA,90405-,
876,Citrus College,CA,91741-,
877,Southwestern College,CA,91910-,
878,San Diego City College,CA,92101-,
879,Miramar College,CA,92126-,
880,Desert-College of the,CA,92260-,
881,Victor Valley College,CA,92392-,
882,Mt. San Jacinto College,CA,92583-,
883,Santa Ana College,CA,92706-,
884,Naval Postgraduate School,CA,93943-,
885,Foothill College,CA,94022-,
886,Merritt College,CA,94619-,
887,Marin-College of,CA,94904-,
888,Shasta College,CA,96099-,
889,Mount Hood Community College,OR,97030-,
890,George Fox Univ.,OR,97132-,
891,Concordia Univ.-Portland,OR,97211-,
892,Warner Pacific College,OR,97215-,
893,Lane Community College,OR,97405-,
894,Central Oregon Community College,OR,97701-,
895,Pacific Lutheran Univ.,WA,98447-,
896,Tacoma Community College,WA,98466-,
897,Walla Walla Community College,WA,99362-,
898,Moncton-Univ. de (Canada), Canada, E1A 3E9,
899,Concordia Univ. (Canada), Canada, H3G1M8,
900,McMaster Univ. (Canada), Canada, L8S4L8,
901,Sainte-Anne-Univ. of (Canada), Canada, BOW 1MO,
902,Toronto-Univ. of (Canada), Canada, M5S 1A7,
903,Simon Fraser Univ. (Canada), Canada, V5A 1S6,
904,British Columbia-Univ. of (Canada), Canada, V6T 1Z4,
905,St. Francis Xavier Univ. (Canada), Canada, B2G 2W5,
906,Ryerson Univ. (Canada), Canada, M5B 2K3,
907,Guelph-Univ. of (Canada), Canada, N1G 2W1,
908,Alberta-Univ. of (Canada), Canada, T6G 2G7,
909,Brock Univ. (Canada), Canada, L2S 3A1,
910,Waterloo Univ. (Canada), Canada, N2L 3G1,
911,Western Ontario-Univ. of (Canada), Canada, N6A 3K7,
912,Windsor-Univ. of (Canada), Canada, N9B 3P4,
913,New Brunswick-Univ. of (Canada), Canada, E3B 5A3,
914,Douglas College (Canada), Canada, V3M 5Z5,
915,Royal Roads Univ. (Canada), Canada, V9B 5Y2,
916,Northern Lights College (Canada), Canada, V1J 6K1,
917,Trent Univ. (Canada), Canada, K9J 7B8,
918,Fraser Valley-Univ. of the (Canada), Canada, V2S 7M8,
919,CUNY xCenter   Queens College,NY,11367,
920,Dowling College,NY,11769,
921,Finger Lakes Community College,NY,14424,
922,Cecil College,MD,21901,
923,Central Virginia Community College,VA,24502,
924,Horry-Georgetown Technical College,SC,29526,
925,Georgia Regents Univ.,GA,30912,
926,Lake Michigan Community College,MI,49022,
927,Western Technical College,WI,54602,
928,Vermilion Community College,MN,55731,
929,National Lewis Univ.-North Shore Campus,IL,60077,
930,South Suburban College,IL,60473,
931,Park Univ.,MO,64152,
932,Northwestern Missouri,MO,64468,
933,State Fair Community College,MO,65301,
934,Northland Pioneer College,AZ,85901,
935,San Diego Community College District,CA,92108,
936,California Baptist Univ.,CA,92504,
937,Los Medanos College,CA,94565,
938,Oregon Institute of Technology,OR,97601,
