id,name,state,zipcode,USNewsRank
152,Alabama-Univ. of   Tuscaloosa,AL,35487-,
153,Macalester College (26),MN,55105-,
154,Miami-Univ. of ,FL,33124-,
155,Colorado College,CO,80903-,
156,Toledo-Univ. of ,OH,43606,
157,US Air Force Academy,CO,80840,
158,Middlebury College,VT,05753-,
159,Pomona College,CA,91711-,
160,New Jersey City Univ.,NJ,07305-,
161,SUNY Coll. at Oswego,NY,13126-,
162,East Tennessee State,TN,37614-,
163,MA-Univ. of   Boston,MA,2125,
164,Wisconsin-Univ. of   River Falls,WI,54022-,
165,MA-Univ. of   Lowell,MA,01854-,
166,Clarkson Univ.,NY,13699-,
167,Illinois Institute of Technology,IL,60616,
168,Allegheny College,PA,16335-,
169,Juniata College,PA,16652-,
170,San Jose State Univ.,CA,95192-,
171,U.S. Military Academy,NY,12518-,
172,Drexel Univ.,PA,19104-,
173,Northwestern Univ.,IL,60208-,
174,Washington State Univ. - Pullman,WA,99164-,
175,Missouri State Univ.,MO,65897,
176,Puerto Rico- Univ. of   Humacao,Puerto Rico,792,
177,Salisbury Univ.,MD,21801,
178,Delaware-Univ. of,DE,19716,
179,Austin Peay State Univ.,TN,37044-,
180,Houston-Univ. of ,TX,77204-,
181,Southern California-Univ. of (USC),CA,90089-,
182,Lewis & Clark College (75),OR,97219-,
183,Morehouse Univ.,GA,30314,
184,Bates College,ME,04240-,
185,Vanderbilt Univ.,TN,37235-,
186,Texas Tech Univ.,TX,79409-,
187,New Hampshire-Univ. of ,NH,3824,
188,Central College,IA,50219-,
189,Truman State Univ.,MO,63501-,
190,Murray State Univ.,KY,42071,
191,Bloomsburg Univ.,PA,17815,
192,Illinois Wesleyan Univ. (62),IL,61702-,
193,Siena College,NY,12211-,
194,Occidental College,CA,90041-,
195,Colorado-Univ. of   Colorado Springs,CO,80918,
196,Mt. Holyoke College,MA,01075-,
197,North Florida-Univ. of ,FL,32216-,
198,Florida Institute of Technology,FL,32901-,
199,Stephen F. Austin State Univ.,TX,75962-,
200,Kettering Univ.,MI,48504,
201,Kansas-Univ. of ,KS,66045-,
202,Taylor Univ.,IN,46989,
203,Northern Colorado   Univ. of ,CO,80639,
204,Brandeis Univ.,MA,02454-,
205,Hamilton College,NY,13323-,
206,Hendrix College,AR,72032-,
207,Auburn Univ.,AL,36849,
208,Fresno State Univ.,CA,97340,
209,Gettysburg College (47),PA,17325-,
210,Michigan Tech Univ.,MI,49931-,
211,Grinnell College,IA,50112-,
212,Wyoming-Univ. of ,WY,82071-,
213,Wisconsin-Univ. of   Milwaukee,WI,53211,
214,Puget Sound-Univ. of ,WA,98416,
215,Amherst College,MA,01002-,
216,Holy Cross-College of the ,MA,01610-,
217,Tufts Univ.,MA,02155-,
218,Wooster-College of ,OH,44691-,
219,Illinois-Univ. of   Chicago,IL,60607-,
220,Wisconsin-Univ. of   Platteville,WI,53818,
221,Cal State Univ.-San Bernardino,CA,92407-,
222,Eastern Illinois Univ.,IL,61920-,
